"id","type","parent","permlink","name","ytcount"
"Category:Abbott, Edwin Milton","1","","http://imslp.org/wiki/Category:Abbott,_Edwin_Milton","Abbott, Edwin Milton",32
"Category:Abeelen, Henri van den","1","","http://imslp.org/wiki/Category:Abeelen,_Henri_van_den","Abeelen, Henri van den",98
"Category:Abdullayev Rauf","1","","http://imslp.org/wiki/Category:Abdullayev_Rauf","Abdullayev Rauf",7931
"Category:Abbott, Simon Alexander","1","","http://imslp.org/wiki/Category:Abbott,_Simon_Alexander","Abbott, Simon Alexander",3028
"Category:Abbott, J. R.","1","","http://imslp.org/wiki/Category:Abbott,_J._R.","Abbott, J. R.",246148
"Category:Abbott, Jane Bingham","1","","http://imslp.org/wiki/Category:Abbott,_Jane_Bingham","Abbott, Jane Bingham",36
"Category:Abdey, Alfred William","1","","http://imslp.org/wiki/Category:Abdey,_Alfred_William","Abdey, Alfred William",4526
"Category:Abel, Frederic","1","","http://imslp.org/wiki/Category:Abel,_Frederic","Abel, Frederic",27795
"Category:Abert, Anna Amalie","1","","http://imslp.org/wiki/Category:Abert,_Anna_Amalie","Abert, Anna Amalie",7760
"Category:Abel, Ludwig","1","","http://imslp.org/wiki/Category:Abel,_Ludwig","Abel, Ludwig",26304
"Category:Abert, Hermann","1","","http://imslp.org/wiki/Category:Abert,_Hermann","Abert, Hermann",55
"Category:Abel, Carl Friedrich","1","","http://imslp.org/wiki/Category:Abel,_Carl_Friedrich","Abel, Carl Friedrich",31542
"Category:Abig, Adolphé","1","","http://imslp.org/wiki/Category:Abig,_Adolphé","Abig, Adolphé",0
"Category:Abelardo, Nicanor","1","","http://imslp.org/wiki/Category:Abelardo,_Nicanor","Abelardo, Nicanor",16078
"Category:Abert, Wenzel","1","","http://imslp.org/wiki/Category:Abert,_Wenzel","Abert, Wenzel",2905
"Category:Abell, John","1","","http://imslp.org/wiki/Category:Abell,_John","Abell, John",29584
"Category:Abos, Girolamo","1","","http://imslp.org/wiki/Category:Abos,_Girolamo","Abos, Girolamo",305
"Category:Abing","1","","http://imslp.org/wiki/Category:Abing","Abing",36967
"Category:Abert, Johann Joseph","1","","http://imslp.org/wiki/Category:Abert,_Johann_Joseph","Abert, Johann Joseph",114
"Category:Abel, Clamor Heinrich","1","","http://imslp.org/wiki/Category:Abel,_Clamor_Heinrich","Abel, Clamor Heinrich",7
"Category:Abela, Placido","1","","http://imslp.org/wiki/Category:Abela,_Placido","Abela, Placido",74
"Category:Abesser, Edmund","1","","http://imslp.org/wiki/Category:Abesser,_Edmund","Abesser, Edmund",1
"Category:Ablamowicz, Anna M.","1","","http://imslp.org/wiki/Category:Ablamowicz,_Anna_M.","Ablamowicz, Anna M.",4
"Category:Abondante, Giulio","1","","http://imslp.org/wiki/Category:Abondante,_Giulio","Abondante, Giulio",48
"Category:Abrahams, V.","1","","http://imslp.org/wiki/Category:Abrahams,_V.","Abrahams, V.",262670
"Category:Abrahams, Nicolai Christian Levin","1","","http://imslp.org/wiki/Category:Abrahams,_Nicolai_Christian_Levin","Abrahams, Nicolai Christian Levin",1
"Category:Aboyan, Gayk","1","","http://imslp.org/wiki/Category:Aboyan,_Gayk","Aboyan, Gayk",2
"Category:Adhémar, Comte Abel d'","1","","http://imslp.org/wiki/Category:Adhémar,_Comte_Abel_d'","Adhémar, Comte Abel d'",1
"Category:Aalst, J. A. van","1","","http://imslp.org/wiki/Category:Aalst,_J._A._van","Aalst, J. A. van",1171
"Category:Aaquist, Svend","1","","http://imslp.org/wiki/Category:Aaquist,_Svend","Aaquist, Svend",12
"Category:Abadie, Louis","1","","http://imslp.org/wiki/Category:Abadie,_Louis","Abadie, Louis",810
"Category:Agazzi, Gaetano","1","","http://imslp.org/wiki/Category:Agazzi,_Gaetano","Agazzi, Gaetano",89
"Category:Agricola, Johann Friedrich","1","","http://imslp.org/wiki/Category:Agricola,_Johann_Friedrich","Agricola, Johann Friedrich",341
"Category:Ahle, Johann Rudolf","1","","http://imslp.org/wiki/Category:Ahle,_Johann_Rudolf","Ahle, Johann Rudolf",128
"Category:Ahlström, Johan Alfred","1","","http://imslp.org/wiki/Category:Ahlström,_Johan_Alfred","Ahlström, Johan Alfred",19
"Category:Ahrens, Harry","1","","http://imslp.org/wiki/Category:Ahrens,_Harry","Ahrens, Harry",2407
"Category:Aguirre, Manuel Lorenzo","1","","http://imslp.org/wiki/Category:Aguirre,_Manuel_Lorenzo","Aguirre, Manuel Lorenzo",1645
"Category:Aichinger, Gregor","1","","http://imslp.org/wiki/Category:Aichinger,_Gregor","Aichinger, Gregor",3830
"Category:Ahlqvist, August","1","","http://imslp.org/wiki/Category:Ahlqvist,_August","Ahlqvist, August",632
